"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"Frost Shield","[{'key': 'damage_reduction', 'header': 'DAMAGE REDUCTION:', 'value': ['30%', '40%', '50%', '60%']}, {'key': 'movement_slow', 'header': 'SLOW:', 'value': ['20%', '25%', '30%', '35%']}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': '0.5'}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['18', '32', '46', '60']}, {'key': 'interval', 'header': 'INTERVAL:', 'value': '1', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '600', 'generated': True}, {'key': 'duration', 'header': 'BUFF DURATION:', 'value': ['5', '6', '7', '8']}, {'key': 'bonus_duration_per_hero_killed', 'header': 'BONUS DURATION ON HERO KILL:', 'value': '0'}, {'key': 'bonus_duration_per_creep_killed', 'header': 'BONUS DURATION ON CREEP KILL:', 'value': '0'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/lich_frost_shield.png","Unit Target","Friendly","['100', '110', '120', '130']","Applies a magical frost shield around the target, reducing damage from attacks against it. While the shield is active, ice magic will affect nearby enemy units every 1 seconds, dealing minor damage and slowing them.","['30', '25', '20', '15']","Magical","['Hero', 'Basic', 'Building']","Yes","[]","First conceived of to protect him in his mortal years, the frost magic that Ethreain weaves around himself has only grown colder with time.","",""
"Frost Shield Provides +50 HP Regen","","","","","","","","","","","","","",""
"Frostbite","[{'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '600', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}, {'key': 'damage_per_second', 'header': 'DAMAGE PER SECOND:', 'value': '100'}, {'key': 'duration', 'header': 'DURATION:', 'value': ['1.5', '2', '2.5', '3']}, {'key': 'creep_multiplier', 'header': 'CREEP MULTIPLIER:', 'value': '4', 'generated': True}, {'key': 'tick_interval', 'header': 'TICK INTERVAL:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/crystal_maiden_frostbite.png","Unit Target","Enemy","['125', '135', '145', '155']","Encases an enemy unit in ice, prohibiting movement and attack, while dealing damage over time. Deals 4x damage to non-ancient creeps.","['9', '8', '7', '6']","Magical","['Hero', 'Basic']","Yes","No","Rylai channels winds from the Blueheart Glacier, imprisoning attackers in thick blocks of ice.","",""
"Frozen Sigil","[{'key': 'sigil_radius', 'header': 'AURA RADIUS:', 'value': '650'}, {'key': 'sigil_duration', 'header': 'DURATION:', 'value': '25'}, {'key': 'move_slow', 'header': 'MOVEMENT SLOW:', 'value': '40%'}, {'key': 'attack_slow', 'header': 'ATTACK SLOW:', 'value': '0'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/tusk_frozen_sigil.png","['No Target', 'Hidden']","","70","Summons a flying Sigil that slows movement speed by -40% for enemies within 650 radius. Lasts 25 seconds. Cooldown: 30","30","","","","No","The chill of home!","",""
"Funhouse Mirror","[{'key': 'images_count', 'header': 'IMAGES COUNT:', 'value': '1', 'generated': True}, {'key': 'illusion_duration', 'header': 'ILLUSION DURATION:', 'value': '18', 'generated': True}, {'key': 'images_do_damage_percent_melee', 'header': 'IMAGES DO DAMAGE PERCENT MELEE:', 'value': '-67', 'generated': True}, {'key': 'tooltip_damage_outgoing_melee', 'header': 'TOOLTIP DAMAGE OUTGOING MELEE:', 'value': '33', 'generated': True}, {'key': 'images_take_damage_percent', 'header': 'IMAGES TAKE DAMAGE PERCENT:', 'value': '200', 'generated': True}, {'key': 'tooltip_damage_incoming_total_pct', 'header': 'TOOLTIP DAMAGE INCOMING TOTAL PCT:', 'value': '300', 'generated': True}, {'key': 'images_do_damage_percent_ranged', 'header': 'IMAGES DO DAMAGE PERCENT RANGED:', 'value': '-72', 'generated': True}, {'key': 'tooltip_damage_outgoing_ranged', 'header': 'TOOLTIP DAMAGE OUTGOING RANGED:', 'value': '28', 'generated': True}, {'key': 'invuln_duration', 'header': 'INVULN DURATION:', 'value': '0.2', 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '1000', 'generated': True}, {'key': 'num_scale_sets', 'header': 'NUM SCALE SETS:', 'value': '3', 'generated': True}, {'key': 'model_scale_animate_time', 'header': 'MODEL SCALE ANIMATE TIME:', 'value': '0.05', 'generated': True}, {'key': 'illusion_model_scale_1', 'header': 'ILLUSION MODEL SCALE 1:', 'value': '0', 'generated': True}, {'key': 'illusion_model_scale_2', 'header': 'ILLUSION MODEL SCALE 2:', 'value': '0', 'generated': True}, {'key': 'illusion_model_scale_3', 'header': 'ILLUSION MODEL SCALE 3:', 'value': '50', 'generated': True}, {'key': 'health_bar_offset_1', 'header': 'HEALTH BAR OFFSET 1:', 'value': '180', 'generated': True}, {'key': 'health_bar_offset_2', 'header': 'HEALTH BAR OFFSET 2:', 'value': '220', 'generated': True}, {'key': 'health_bar_offset_3', 'header': 'HEALTH BAR OFFSET 3:', 'value': '280', 'generated': True}, {'key': 'charge_restore_time', 'header': 'CHARGE RESTORE TIME:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}, {'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '99', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ringmaster_funhouse_mirror.png","['No Target', 'Hidden']","","","Use: Proportion Distortion Creates 1 imperfect image of your hero that lasts 18 seconds. Your illusion deals 28% and takes 300% damage.","3","","","","","","",""
"Fury Swipes","[{'key': 'bonus_reset_time', 'header': 'RESET TIME:', 'value': ['8', '12', '16', '20']}, {'key': 'bonus_reset_time_roshan', 'header': 'RESET TIME (ROSHAN):', 'value': '10'}, {'key': 'damage_per_stack', 'header': 'DAMAGE PER ATTACK:', 'value': ['13', '21', '29', '37']}, {'key': 'stun_stack_count', 'header': 'STUN STACK COUNT:', 'value': '0', 'generated': True}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ursa_fury_swipes.png","Passive","","","Ursa's claws dig deeper wounds in the enemy, causing consecutive attacks to the same enemy to deal more damage. If the same target is not attacked after 8 seconds, the bonus damage is lost.","","Physical","","No","Yes","In nature, the wounded rarely survive the attacks of hungry predators.","",""
"Gains Reincarnation 200 CD","","","","","","","","","","","","","",""
"Gains Reincarnation 250 CD","","","","","","","","","","","","","",""
"Gains Reincarnation 300 CD","","","","","","","","","","","","","",""
"Gains Retaliate Aura","","","","","","","","","","","","","",""
"Gale Creates Plague Wards","","","","","","","","","","","","","",""
"Gale Force","[{'key': 'duration', 'header': 'DURATION:', 'value': '3.5'}, {'key': 'wind_strength', 'header': 'WIND SPEED:', 'value': '240'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1000'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/windrunner_gale_force.png","['Point Target', 'Hidden']","","100","Vector Targeted. Summons a strong wind that pushes all enemies in the target area towards the target direction.","30","","","","No","At last Lyralei has learned to call upon the might of her true birthright.","",""
"Galvanized","[{'key': 'perma_mp_per_kill', 'header': 'PERMA MP PER KILL:', 'value': '0.1', 'generated': True}, {'key': 'mp_per_kill', 'header': 'MP PER KILL:', 'value': '0.2', 'generated': True}, {'key': 'charges_per_ult', 'header': 'CHARGES PER ULT:', 'value': '3', 'generated': True}, {'key': 'aoe', 'header': 'RADIUS:', 'value': '1200'}, {'key': 'charges_per_death', 'header': 'CHARGES PER DEATH:', 'value': '3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/storm_spirit_galvanized.png","Passive","","","Storm Spirit gains a charge of 0.2 mana regeneration per kill. Loses 3 charges per death. Leveling Ball Lightning gives Storm Spirit 3 bonus charges. Additionally every time he gains a charge he also gains 0.1 Mana Regen permanently.","","","","No","","","",True
"Geminate Attack","[{'key': 'delay', 'header': 'DELAY:', 'value': '0.25', 'generated': True}, {'key': 'extra_attack', 'header': 'EXTRA ATTACK:', 'value': '1', 'generated': True}, {'key': 'bonus_damage', 'header': 'GEMINATE ATTACK DAMAGE:', 'value': ['20', '35', '50', '65']}, {'key': 'shard_beetle_search_range', 'header': 'SHARD BEETLE SEARCH RANGE:', 'value': '1200', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '425', 'generated': True}]","/apps/dota2/images/dota_react/abilities/weaver_geminate_attack.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","","Allows Weaver to dispatch two attacks at once.","['9', '7', '5', '3']","Physical","['Hero', 'Basic', 'Building']","","Yes","Skitskurr's relationship with time is somewhat variable, causing his actions to be witnessed - and felt - more than once.","",""
"Geomagnetic Grip","[{'key': 'radius', 'header': 'RADIUS:', 'value': '180', 'generated': True}, {'key': 'rock_damage', 'header': 'REMNANT DAMAGE:', 'value': ['50', '125', '200', '275']}, {'key': 'duration', 'header': 'SILENCE DURATION:', 'value': ['2', '2.5', '3', '3.5']}, {'key': 'pull_units_per_second_heroes', 'header': 'HERO PULL SPEED:', 'value': '600'}, {'key': 'pull_units_per_second', 'header': 'REMNANT PULL SPEED:', 'value': '900'}, {'key': 'speed', 'header': 'SPEED:', 'value': '800', 'generated': True}, {'key': 'total_pull_distance', 'header': 'TOTAL PULL DISTANCE:', 'value': '1400', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['1000', '1100', '1200', '1300'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/earth_spirit_geomagnetic_grip.png","['Point Target', 'Unit Target']","Friendly","75","Earth Spirit pulls the target Stone Remnant. Enemies struck by the gripped target will be silenced and take damage.","13","Magical","Hero","Yes","No","Like calls to like. Even the minerals found in the blood and bones of living beings are not immune to the call of the Earth Spirit.","",""
"Geostrike","[{'key': 'gold_steal', 'header': 'GOLD STEAL:', 'value': ['1', '3', '5', '7']}, {'key': 'hp_steal', 'header': 'HEALTH STEAL:', 'value': ['6', '12', '18', '24']}]","/apps/dota2/images/dota_react/abilities/meepo_geostrike.png","Passive","","","","","","","Yes","Yes","Keeping your pack light and having few but versatile tools is the best bet for survival.","",""
"Ghost Shroud","[{'key': 'duration', 'header': 'DURATION:', 'value': ['3', '3.5', '4', '4.5']}, {'key': 'heal_bonus', 'header': 'RESTORATION AMPLIFICATION:', 'value': ['45%', '55%', '65%', '75%']}, {'key': 'movement_speed', 'header': 'MOVEMENT SLOW:', 'value': ['10%', '15%', '20%', '25%']}, {'key': 'movement_transfer', 'header': 'MOVEMENT TRANSFER:', 'value': '0', 'generated': True}, {'key': 'slow_aoe', 'header': 'SLOW RADIUS:', 'value': '750'}, {'key': 'bonus_damage', 'header': 'INCREASED MAGIC DAMAGE:', 'value': '-20%'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/necrolyte_ghost_shroud.png","['No Target', 'Instant Cast']","","75","Necrophos slips into the realm that separates the living from the dead. Unable to attack or be attacked, he emits an aura that slows enemies around him. He takes additional magic damage in this form, but his restorative powers are amplified.","['28', '24', '20', '16']","","","Yes","No","Rotund'jere uses the souls of his victims as bridge from life to afterlife.","",""
"Ghost Walk","[{'key': 'duration', 'header': 'DURATION:', 'value': '60'}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '450'}, {'key': 'enemy_slow', 'header': 'ENEMY SLOW (QUAS):\\n', 'value': ['-20%', '-25%', '-30%', '-35%', '-40%', '-45%', '-50%', '-55%']}, {'key': 'self_slow', 'header': 'SELF SPEED (WEX):\\n', 'value': ['-15%', '-10%', '-5%', '0%', '5%', '10%', '15%', '20%']}, {'key': 'aura_fade_time', 'header': 'AURA FADE TIME:', 'value': '2', 'generated': True}, {'key': 'health_regen', 'header': 'HEALTH REGENERATION (QUAS):', 'value': ['10', '15', '20', '25', '30', '35', '40', '45']}, {'key': 'mana_regen', 'header': 'MANA REGENERATION (WEX):\\n', 'value': ['2.5', '5', '7.5', '10', '12.5', '15', '17.5', '20']}, {'key': 'disable_time', 'header': 'DISABLE TIME:', 'value': '3', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_ghost_walk.png","['No Target', 'Instant Cast', 'Hidden']","","175","Invoker manipulates the ice and electrical energies around him, rendering his body invisible and gaining health and mana regen. The elemental imbalance created as a consequence slows nearby enemies based on the level of Quas , and slows Invoker as well based on the level of Wex .","32","","","No","No","Myrault's Hinder-Gast.","",""
"Ghost Walk (AD)","[{'key': 'duration', 'header': 'DURATION:', 'value': '100'}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '400'}, {'key': 'enemy_slow', 'header': 'ENEMY SLOW:\\n', 'value': ['-20%', '-30%', '-40%', '-50%']}, {'key': 'self_slow', 'header': 'SELF SPEED:\\n', 'value': ['-15%', '-5%', '5%', '15%']}, {'key': 'aura_fade_time', 'header': 'AURA FADE TIME:', 'value': '2', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_ghost_walk_ad.png","['No Target', 'Instant Cast']","","200","Invoker manipulates the ice and electrical energies around him, rendering his body invisible. The elemental imbalance created as a consequence slows nearby enemies, and slows Invoker as well based on the level.","45","","","No","No","Myrault's Hinder-Gast.","",""
"Ghostship","[{'key': 'tooltip_delay', 'header': 'IMPACT DELAY:', 'value': '3.1'}, {'key': 'ghostship_distance', 'header': 'RANGE:', 'value': '2000'}, {'key': 'ghostship_width', 'header': 'WIDTH:', 'value': '450'}, {'key': 'movespeed_bonus', 'header': 'RUM BONUS SPEED:', 'value': '15%'}, {'key': 'buff_duration', 'header': 'RUM DURATION:', 'value': '10'}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '1.2'}, {'key': 'ghostship_speed', 'header': 'GHOSTSHIP SPEED:', 'value': '650', 'generated': True}, {'key': 'ghostship_absorb', 'header': 'DAMAGE DELAYED:', 'value': '35%'}, {'key': 'num_cannon_volleys', 'header': 'NUM CANNON VOLLEYS:', 'value': '3', 'generated': True}, {'key': 'base_cannon_rotation', 'header': 'BASE CANNON ROTATION:', 'value': '20', 'generated': True}, {'key': 'rotation_per_cannon', 'header': 'ROTATION PER CANNON:', 'value': '12', 'generated': True}, {'key': 'initial_cannon_offset', 'header': 'INITIAL CANNON OFFSET:', 'value': '-150', 'generated': True}, {'key': 'distance_between_cannons', 'header': 'DISTANCE BETWEEN CANNONS:', 'value': '75', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/kunkka_ghostship.png","Point Target","","['125', '175', '225']","Summons a ghostly ship that sails through the battle before smashing apart, damaging and stunning all enemies caught near the wreckage. Allied heroes touched by the Ghostship are given a strong swig of The Admiral's Rum, receiving bonus movement speed and a delayed reaction to incoming damage.","['80', '70', '60']","Magical","","No","No","The final ship of the Claddish Navy is nothing but a phantom, but it is all too real to the enemies of the Admiral.","['400', '500', '600']",""
"Ghostship Fleet","","","","","","","","","","","","","",""
"Ghoul Frenzy","[{'key': 'movement_speed_bonus', 'header': 'BONUS MOVE SPEED:', 'value': ['2%', '4%', '6%', '8%']}, {'key': 'attack_speed_bonus', 'header': 'BONUS ATTACK SPEED:', 'value': ['30', '50', '70', '90']}]","/apps/dota2/images/dota_react/abilities/life_stealer_ghoul_frenzy.png","Passive","Enemy","","Passively grants Lifestealer Movement and Attack Speed.","","","['Hero', 'Basic']","Yes","No","","",""
"Gift Bearer","[{'key': 'reroll', 'header': 'REROLL:', 'value': '1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/lone_druid_gift_bearer.png","Passive","","","Lone Druid can re-roll his Neutral Token once per tier.","","","","","","","",True
"Glacier","[{'key': 'shard_width', 'header': 'SHARD WIDTH:', 'value': '180', 'generated': True}, {'key': 'shard_count', 'header': 'SHARD COUNT:', 'value': '5', 'generated': True}, {'key': 'shard_speed', 'header': 'SHARD SPEED:', 'value': '1200', 'generated': True}, {'key': 'shard_duration', 'header': 'DURATION:', 'value': '8'}, {'key': 'shard_angle_step', 'header': 'SHARD ANGLE STEP:', 'value': '40', 'generated': True}, {'key': 'shard_distance', 'header': 'SHARD DISTANCE:', 'value': '125', 'generated': True}, {'key': 'turn_rate_slow', 'header': 'TURN RATE SLOW:', 'value': '0', 'generated': True}, {'key': 'end_height', 'header': 'END HEIGHT:', 'value': '128', 'generated': True}, {'key': 'hilltop_offset', 'header': 'HILLTOP OFFSET:', 'value': '150', 'generated': True}, {'key': 'ramp_radius', 'header': 'RAMP RADIUS:', 'value': '150', 'generated': True}, {'key': 'attack_range_bonus', 'header': 'ATTACK RANGE BONUS:', 'value': '200'}, {'key': 'multishot_arrow_bonus', 'header': 'BONUS ARROWS PER WAVE:', 'value': '1'}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '0.1', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '175', 'generated': True}, {'key': 'knockback_height', 'header': 'KNOCKBACK HEIGHT:', 'value': '50', 'generated': True}, {'key': 'z_speed_override', 'header': 'Z SPEED OVERRIDE:', 'value': '800', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '400', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/drow_ranger_glacier.png","No Target","Enemy","50","Drow creates a hill of ice beneath her. While standing on the hill, attackers gain bonus attack range and high ground advantage - they cannot miss and gain flying vision. Drow additionally gets bonus Multishot arrows per wave while on the hill. The front of the hill obscures vision and cannot be moved through except by Drow. Does not interrupt Multishot when cast.","20","Magical","['Hero', 'Basic']","","No","","",""
"Glaives of Wisdom","[{'key': 'intellect_damage_pct', 'header': 'INT TO DAMAGE:', 'value': ['20%', '40%', '60%', '80%']}, {'key': 'int_steal', 'header': 'INT STEAL:', 'value': ['1', '2', '3', '4']}, {'key': 'int_steal_duration', 'header': 'INT STEAL DURATION:', 'value': ['20', '25', '30', '35']}, {'key': 'bounce_range', 'header': 'BOUNCE RANGE:', 'value': '0', 'generated': True}, {'key': 'bounce_count', 'header': 'BOUNCE COUNT:', 'value': '0', 'generated': True}, {'key': 'stacks_for_silence', 'header': 'STACKS FOR SILENCE:', 'value': '+4', 'generated': True}, {'key': 'silence_duration', 'header': 'SILENCE DURATION:', 'value': '+2.5', 'generated': True}, {'key': 'debuff_linger_duration', 'header': 'DEBUFF LINGER DURATION:', 'value': ['3', '4', '5', '6'], 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '600', 'generated': True}, {'key': 'abilityduration', 'header': 'DURATION:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/silencer_glaives_of_wisdom.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","['14', '16', '18', '20']","Silencer enchants his glaives with his wisdom, stealing his target's Intelligence with each hit and dealing additional damage based on his Intelligence. After 4 attacks on the same target, that enemy will be silenced for 2.5 seconds.","0","Magical","['Hero', 'Basic']","No","No","Although lacking in traditional incantations, Nortrom's pedigree of the Aeol Drias gives him uncanny wisdom, which he applies to physical combat.","",""
"Glimpse","[{'key': 'backtrack_time', 'header': 'BACKTRACK TIME:', 'value': '4', 'generated': True}, {'key': 'cast_range', 'header': 'CAST RANGE:', 'value': ['600', '1000', '1400', '1800'], 'generated': True}, {'key': 'silence_duration', 'header': 'SILENCE DURATION:', 'value': '0', 'generated': True}, {'key': 'min_damage', 'header': 'MIN DAMAGE:', 'value': '25'}, {'key': 'max_damage', 'header': 'MAX DAMAGE:', 'value': ['100', '160', '220', '280']}, {'key': 'damage_to_distance_pct', 'header': 'GLIMPSE DISTANCE TO DAMAGE:', 'value': ['20%', '25%', '30%', '35%']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['600', '1000', '1400', '1800'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/disruptor_glimpse.png","Unit Target","Enemy","['70', '85', '100', '115']","Teleports the target hero back to where it was 4 seconds ago. Instantly kills illusions. Deals damage equal to a percentage of the distance glimpsed, that cannot go over a damage maximum.","['24', '22', '20', '18']","Magical","Hero","No","No","Playing with electricity can have unexpected results.","",""
"Global Concussive Shot","","","","","","","","","","","","","",""
"Global Silence","[{'key': 'abilityduration', 'header': 'DURATION:', 'value': ['4.5', '5.25', '6']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/silencer_global_silence.png","No Target","","['300', '450', '600']","Silencer stops all sound, preventing enemy heroes and units on the map from casting spells.","['130', '115', '100']","","","Yes","Yes","With a shock to the ground, all magic and sound pauses, and Nortrom fulfills his prophecy.","",""
"Global Silence Undispellable","","","","","","","","","","","","","",""
"Go To Secret Shop","[]","/apps/dota2/images/dota_react/abilities/courier_go_to_secretshop.png","No Target","","","Sends the courier to your team's secret shop","","","","","","","",""
"Gobble Up","[{'key': 'max_time_in_belly', 'header': 'MAX TIME IN BELLY:', 'value': '3', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '150', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/snapfire_gobble_up.png","['Unit Target', 'Hidden']","[]","120","Mortimer gobbles up a creep or an allied hero, which he can then spit towards enemies. The unit stays in his belly up to 3 seconds.","40","","[]","","","","",""
"God's Rebuke","[{'key': 'crit_mult', 'header': 'CRITICAL DAMAGE:', 'value': ['150%', '200%', '250%', '300%']}, {'key': 'angle', 'header': 'ANGLE:', 'value': '140', 'generated': True}, {'key': 'radius', 'header': 'DISTANCE:', 'value': '500'}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '0.3', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '150', 'generated': True}, {'key': 'knockback_slow', 'header': 'KNOCKBACK SLOW:', 'value': '40%'}, {'key': 'knockback_slow_duration', 'header': 'KNOCKBACK SLOW DURATION:', 'value': '2.5'}, {'key': 'activity_duration', 'header': 'ACTIVITY DURATION:', 'value': '2', 'generated': True}, {'key': 'bonus_damage_vs_heroes', 'header': 'BONUS DAMAGE VS HEROES:', 'value': ['10', '15', '20', '25']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/mars_gods_rebuke.png","Point Target","Enemy","90","Mars smashes enemies in front of him with his shield, knocking them back and damaging them with a critical hit based on his attack. Bonus damage is added when hitting heroes. Has True Strike.","['16', '14', '12', '10']","Physical","['Hero', 'Basic']","","","There isn't a warrior alive who can stand unmoved by the sting of Mars' rebuke.","",""
"God's Rebuke +65% Crit","","","","","","","","","","","","","",""
"God's Strength","[{'key': 'gods_strength_damage', 'header': 'BONUS DAMAGE:', 'value': ['110%', '150%', '190%']}, {'key': 'bonus_slow_resistance', 'header': 'SLOW RESISTANCE:', 'value': '30%'}, {'key': 'abilityduration', 'header': 'DURATION:', 'value': '35', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/sven_gods_strength.png","No Target","","['100', '150', '200']","Sven channels his rogue strength, granting bonus damage and slow resistance for 35 seconds.","['110', '105', '100']","","","No","","With the strength that shattered the Sacred Helm, the Rogue Knight stands unopposed in melee combat.","",""
"Good Juju","[{'key': 'cooldown_reduction', 'header': 'COOLDOWN REDUCTION PER CAST:', 'value': ['1', '1.5', '2']}, {'key': 'item_cooldown_reduction', 'header': 'ITEM COOLDOWN REDUCTION:', 'value': '50', 'generated': True}, {'key': 'scepter_mana_cost', 'header': 'SCEPTER MANA COST:', 'value': '250', 'generated': True}, {'key': 'scepter_cooldown', 'header': 'SCEPTER COOLDOWN:', 'value': '180', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '250', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/dazzle_good_juju.png","Passive","Friendly","","Whenever Dazzle Casts a Spell, all other abilities currently on cooldown have their cooldowns reduced.","","","Hero","","","Each invocation of the Nothl realm helps it further permeate the surroundings of our own.","",""
"Gorgon's Grasp","[{'key': 'radius', 'header': 'INITIAL RADIUS:', 'value': '150'}, {'key': 'radius_grow', 'header': 'RADIUS GROWTH:', 'value': '50'}, {'key': 'delay', 'header': 'DELAY:', 'value': '1'}, {'key': 'volley_interval', 'header': 'VOLLEY INTERVAL:', 'value': '.25', 'generated': True}, {'key': 'volley_spread_pct', 'header': 'VOLLEY SPREAD PCT:', 'value': '170', 'generated': True}, {'key': 'volley_count', 'header': 'VOLLEY COUNT:', 'value': '3', 'generated': True}, {'key': 'duration', 'header': 'DURATION:', 'value': ['0.8', '1.2', '1.6', '2']}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['30', '70', '110', '150']}, {'key': 'damage_pers', 'header': 'DAMAGE PER SECOND:', 'value': '100'}, {'key': 'damage_interval', 'header': 'DAMAGE INTERVAL:', 'value': '.2', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '625', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/medusa_gorgon_grasp.png","['AOE', 'Point Target']","","['40', '60', '80', '100']","Medusa fires arrows in a line that land in 3 groups, with each grouping larger than the previous. Enemies struck by a volley of arrows take an initial burst of damage and then are rooted, cannot turn, are revealed to the enemy, and take damage per second.","['30', '27', '24', '21']","Physical","","Yes","No","","",""
"Grab Ally","[{'key': 'grab_radius', 'header': 'MAX LOAD DISTANCE:', 'value': '400'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '3000', 'generated': True}]","/apps/dota2/images/dota_react/abilities/undying_tombstone_grab.png","['Unit Target', 'Hidden']","Friendly","","Load an ally into the nearest available tombstone.","10","","Hero","","","","",""
"Grab Ally","[]","/apps/dota2/images/dota_react/abilities/undying_tombstone_unit_grab.png","['Unit Target', 'Instant Cast']","Friendly","","Load an ally into this tombstone.","10","","Hero","","","","",""
"Granite Aura","[{'key': 'bonus_hp', 'header': 'BONUS HP PERCENTAGE:', 'value': ['16', '17', '18', '19']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/granite_golem_hp_aura.png","Passive","","","Increases the health capacity of nearby units.","","","","","","","",""
